archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p10_fila_050.html,2025-06-20 11:20:00,2,3,11,12,17,21,24,28,32,38,47,48,51,52,55,56,58,62,78,89
p10_fila_049.html,2025-06-20 11:25:00,2,4,6,7,13,16,25,32,33,37,43,44,55,66,67,70,74,78,80,88
p10_fila_048.html,2025-06-20 11:30:00,2,3,14,15,19,21,24,26,30,33,39,45,46,49,59,61,62,64,71,79
p10_fila_047.html,2025-06-20 11:35:00,3,5,11,16,31,46,47,51,56,57,58,63,70,72,76,84,85,88,89,90
p10_fila_046.html,2025-06-20 11:40:00,7,8,17,18,20,25,27,31,46,48,49,52,53,58,59,66,76,77,81,89
p10_fila_045.html,2025-06-20 11:45:00,5,16,18,23,32,34,36,37,40,48,49,57,60,61,65,73,80,81,82,86
p10_fila_044.html,2025-06-20 11:50:00,1,7,9,14,16,18,20,22,24,25,37,46,57,60,63,64,74,81,84,87
p10_fila_043.html,2025-06-20 11:55:00,1,2,16,19,21,24,33,36,38,40,42,50,54,70,72,74,77,79,81,87
p10_fila_042.html,2025-06-20 12:00:00,3,4,5,23,24,25,27,31,37,38,42,44,53,60,61,65,67,70,80,88
p10_fila_041.html,2025-06-20 12:05:00,7,10,14,19,21,22,29,30,33,36,40,44,50,56,60,63,76,83,84,89
p10_fila_040.html,2025-06-20 12:10:00,6,11,12,23,25,30,31,32,33,42,50,52,56,57,60,68,74,82,89,90
p10_fila_039.html,2025-06-20 12:15:00,1,6,8,13,21,25,26,37,48,52,54,58,63,67,69,70,71,72,75,82
p10_fila_038.html,2025-06-20 12:20:00,1,9,10,12,16,25,30,33,35,36,38,40,48,51,53,58,60,64,89,90
p10_fila_037.html,2025-06-20 12:25:00,2,4,11,13,19,20,23,34,40,45,46,50,51,56,62,63,82,83,84,90
p10_fila_036.html,2025-06-20 12:30:00,20,21,23,26,27,29,32,36,37,45,57,60,63,66,69,73,76,83,84,86
p10_fila_035.html,2025-06-20 12:35:00,2,4,5,8,10,13,18,19,21,22,25,29,34,45,53,55,57,60,84,87
p10_fila_034.html,2025-06-20 12:40:00,1,6,8,13,14,16,19,26,29,31,43,46,49,51,61,62,63,65,78,89
p10_fila_033.html,2025-06-20 12:45:00,6,7,8,9,24,25,26,28,32,36,45,50,56,71,73,74,78,85,86,89
p10_fila_032.html,2025-06-20 12:50:00,1,16,17,19,22,23,25,26,27,28,42,55,62,68,78,83,84,86,88,89
p10_fila_031.html,2025-06-20 12:55:00,2,3,7,11,15,16,25,27,29,39,44,45,50,52,56,72,75,82,84,89
p10_fila_030.html,2025-06-20 13:00:00,3,7,10,23,28,32,33,34,35,39,46,51,53,64,65,67,68,82,83,85
p10_fila_029.html,2025-06-20 13:05:00,8,12,24,25,26,27,32,34,36,37,52,53,58,59,72,73,74,75,77,82
p10_fila_028.html,2025-06-20 13:10:00,12,15,17,20,38,41,42,44,47,48,52,54,58,59,62,64,66,69,76,87
p10_fila_027.html,2025-06-20 13:15:00,2,21,22,24,26,28,31,40,46,49,56,57,59,66,67,70,71,75,79,83
p10_fila_026.html,2025-06-20 13:20:00,5,10,14,17,19,26,27,28,34,39,42,58,63,64,65,78,80,81,83,90
p10_fila_025.html,2025-06-20 13:25:00,2,7,14,18,19,21,23,24,26,28,30,39,41,45,55,64,68,79,85,90
p10_fila_024.html,2025-06-20 13:30:00,3,6,7,9,10,11,36,41,42,45,47,51,53,62,66,74,85,86,89,90
p10_fila_023.html,2025-06-20 13:35:00,2,4,5,7,14,15,20,23,26,28,31,35,36,40,49,52,64,75,79,86
p10_fila_022.html,2025-06-20 13:40:00,1,3,4,6,12,15,17,39,40,41,48,52,63,69,71,73,74,79,83,85
p10_fila_021.html,2025-06-20 13:45:00,1,4,6,15,22,26,38,40,47,48,51,56,62,67,70,74,78,82,85,89
p10_fila_020.html,2025-06-20 13:50:00,1,3,8,9,13,16,19,27,28,31,38,44,54,59,60,77,81,84,87,90
p10_fila_019.html,2025-06-20 13:55:00,1,2,6,8,9,12,18,23,25,34,37,39,55,56,64,74,77,78,83,85
p10_fila_018.html,2025-06-20 14:00:00,1,4,8,17,27,29,32,41,42,55,57,60,61,66,74,76,81,84,88,90
p10_fila_017.html,2025-06-20 14:05:00,2,7,23,33,38,39,40,41,44,52,54,58,60,62,64,69,73,76,80,85
p10_fila_016.html,2025-06-20 14:10:00,9,12,13,18,22,24,27,32,39,45,49,53,59,67,70,73,75,76,82,89
p10_fila_015.html,2025-06-20 14:15:00,2,3,6,10,13,17,18,19,24,36,39,41,50,61,62,63,64,67,82,90
p10_fila_014.html,2025-06-20 14:20:00,2,5,11,17,18,28,29,34,35,37,38,45,49,51,54,61,75,78,79,90
p10_fila_013.html,2025-06-20 14:25:00,1,16,18,26,28,32,33,36,48,52,53,54,58,66,67,68,70,85,89,90
p10_fila_012.html,2025-06-20 14:30:00,1,5,8,11,14,17,20,22,26,28,36,38,39,43,47,50,53,56,68,82
p10_fila_011.html,2025-06-20 14:35:00,5,10,11,12,13,24,26,28,35,43,44,47,48,61,62,65,68,74,76,82
p10_fila_010.html,2025-06-20 14:40:00,8,13,15,18,32,33,34,37,39,53,56,63,64,65,67,72,76,82,84,85
p10_fila_009.html,2025-06-20 14:45:00,1,3,18,19,30,36,42,46,48,57,58,59,63,68,72,76,79,82,87,89
p10_fila_008.html,2025-06-20 14:50:00,1,7,15,19,25,29,31,36,49,51,52,56,70,73,78,79,81,83,85,86
p10_fila_007.html,2025-06-20 14:55:00,8,9,12,16,18,24,30,35,36,42,43,49,59,60,61,70,73,79,85,89
p10_fila_006.html,2025-06-20 15:00:00,4,8,9,13,15,17,21,24,25,32,40,41,43,45,46,56,63,77,80,82
p10_fila_005.html,2025-06-20 15:05:00,2,3,10,12,16,17,30,31,32,34,42,48,53,62,65,69,72,85,86,87
p10_fila_004.html,2025-06-20 15:10:00,3,10,12,17,20,22,38,46,48,50,57,60,69,70,74,79,84,87,89,90
p10_fila_003.html,2025-06-20 15:15:00,2,3,9,14,15,20,29,33,34,35,40,50,60,62,69,71,72,74,79,87
p10_fila_002.html,2025-06-20 15:20:00,3,5,12,19,22,24,28,30,33,34,41,43,48,51,56,57,78,81,86,87
p10_fila_001.html,2025-06-20 15:25:00,5,7,9,11,12,16,17,20,42,44,50,54,57,73,76,78,79,83,87,90
p10_fila_000.html,2025-06-20 15:30:00,2,3,10,11,14,15,19,22,24,27,30,38,45,49,50,59,66,79,83,86
p09_fila_099.html,2025-06-20 15:35:00,1,6,11,17,23,42,46,47,50,54,58,65,66,74,76,77,78,82,85,86
p09_fila_098.html,2025-06-20 15:40:00,8,18,20,22,28,29,31,40,44,48,57,59,63,66,67,73,83,84,87,90
p09_fila_097.html,2025-06-20 15:45:00,2,6,7,8,10,11,13,15,17,21,24,33,39,52,53,65,72,74,82,90
p09_fila_096.html,2025-06-20 15:50:00,3,4,14,23,24,26,29,38,40,44,46,48,49,55,64,74,78,79,83,86
p09_fila_095.html,2025-06-20 15:55:00,4,11,19,20,22,24,27,33,41,43,47,48,58,66,68,71,73,79,81,85
p09_fila_094.html,2025-06-20 16:00:00,10,17,22,30,31,37,40,42,48,49,54,55,56,57,65,69,74,79,83,88
p09_fila_093.html,2025-06-20 16:05:00,2,5,10,16,17,27,30,35,36,43,47,48,52,56,58,66,69,74,77,86
p09_fila_092.html,2025-06-20 16:10:00,1,4,5,6,8,13,14,18,19,31,32,33,36,41,49,55,57,64,77,85
p09_fila_091.html,2025-06-20 16:15:00,1,3,5,7,10,13,18,19,25,30,32,35,36,55,59,60,69,70,82,87
p09_fila_090.html,2025-06-20 16:20:00,8,9,23,26,28,30,34,36,40,45,49,51,53,57,59,63,73,77,84,90
p09_fila_089.html,2025-06-20 16:25:00,5,12,13,15,16,27,29,36,39,41,55,58,59,61,63,64,65,66,68,77
p09_fila_088.html,2025-06-20 16:30:00,9,12,16,17,19,23,25,33,35,36,39,44,45,49,53,64,72,81,88,89
p09_fila_087.html,2025-06-20 16:35:00,1,2,3,4,5,8,11,15,16,22,32,38,44,57,58,72,81,88,89,90
p09_fila_086.html,2025-06-20 16:40:00,5,7,9,12,14,17,26,28,35,40,49,50,56,60,68,70,71,77,82,84
p09_fila_085.html,2025-06-20 16:45:00,4,7,9,10,12,16,21,27,30,42,48,56,60,62,67,72,73,81,87,89
p09_fila_084.html,2025-06-20 16:50:00,4,6,17,18,20,25,26,47,55,56,60,62,67,69,80,81,82,83,84,86
p09_fila_083.html,2025-06-20 16:55:00,2,5,6,9,20,23,25,36,47,48,49,50,51,52,54,69,72,78,79,86
p09_fila_082.html,2025-06-20 17:00:00,3,4,6,12,21,25,27,39,43,44,45,46,51,52,56,60,61,67,72,86
p09_fila_081.html,2025-06-20 17:05:00,4,6,7,15,16,18,20,25,26,30,31,32,42,46,52,55,65,73,74,89
p09_fila_080.html,2025-06-20 17:10:00,4,5,19,20,31,35,36,41,43,47,50,51,54,55,56,69,70,72,73,75
p09_fila_079.html,2025-06-20 17:15:00,1,7,8,16,22,27,30,36,37,40,44,49,54,55,58,60,70,73,81,82
p09_fila_078.html,2025-06-20 17:20:00,5,12,21,27,28,31,44,46,52,53,55,58,63,75,76,77,79,80,83,90
p09_fila_077.html,2025-06-20 17:25:00,2,3,4,10,14,15,24,32,33,38,45,48,65,69,70,72,74,82,83,89
p09_fila_076.html,2025-06-20 17:30:00,10,16,17,19,20,21,22,25,26,35,56,58,62,65,66,70,73,77,82,90
p09_fila_075.html,2025-06-20 17:35:00,2,11,15,18,19,22,28,38,40,42,48,53,67,73,77,79,80,83,86,90
p09_fila_074.html,2025-06-20 17:40:00,1,9,11,16,20,21,22,25,29,37,38,39,50,57,60,68,78,84,87,89
p09_fila_073.html,2025-06-20 17:45:00,1,2,3,10,14,20,25,30,32,33,35,42,44,47,54,69,77,79,82,89
p09_fila_072.html,2025-06-20 17:50:00,2,3,9,13,15,20,22,26,29,46,52,53,58,61,62,69,72,78,82,87
p09_fila_071.html,2025-06-20 17:55:00,2,5,8,10,11,29,30,32,46,55,59,66,67,69,77,81,83,85,86,88
p09_fila_070.html,2025-06-20 18:00:00,3,4,6,12,16,17,24,31,32,38,40,44,59,66,69,75,78,80,84,86
p09_fila_069.html,2025-06-20 18:05:00,2,6,7,18,23,26,27,30,44,48,50,59,60,64,69,75,76,88,89,90
p09_fila_068.html,2025-06-20 18:10:00,1,2,5,7,16,18,25,34,39,42,44,50,52,54,60,79,82,85,89,90
p09_fila_067.html,2025-06-20 18:15:00,6,8,10,15,17,18,27,31,32,36,37,42,56,62,68,70,71,73,84,87
p09_fila_066.html,2025-06-20 18:20:00,2,5,8,10,11,17,20,28,31,39,40,48,49,56,59,78,79,81,82,85
p09_fila_065.html,2025-06-20 18:25:00,2,7,10,11,22,25,26,31,41,45,50,59,60,62,70,73,75,84,86,87
p09_fila_064.html,2025-06-20 18:30:00,4,9,14,21,24,37,38,42,43,45,55,60,65,68,70,72,75,76,80,87
p09_fila_063.html,2025-06-20 18:35:00,1,9,10,12,21,33,35,36,38,43,47,50,53,58,60,62,69,70,87,90
p09_fila_062.html,2025-06-20 18:40:00,3,9,19,25,37,40,41,42,43,46,51,55,58,59,60,65,70,78,81,83
p09_fila_061.html,2025-06-20 18:45:00,4,7,11,15,20,26,31,33,42,44,45,52,53,60,62,66,72,74,79,84
p09_fila_060.html,2025-06-20 18:50:00,3,15,16,23,27,34,43,51,54,55,56,57,64,66,68,69,70,73,79,82
